scheme,horizon,week,sarima,prophet,xgboost,lstm
static_inverse_rmse,all,,0.2534,0.2243,0.2749,0.2474
horizon_adaptive,1,,0.3183,0.0805,0.2387,0.3625
horizon_adaptive,4,,0.3057,0.0091,0.2176,0.4676
horizon_adaptive,8,,0.2354,0.0973,0.5002,0.1671
horizon_adaptive,12,,0.2789,0.0663,0.6549,0.0
regime_adaptive,1,2021-01-04,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-01-11,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-01-18,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-01-25,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-02-01,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-02-08,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-02-15,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-02-22,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-03-01,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-03-08,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-03-15,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-03-22,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-03-29,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-04-05,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-04-12,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-04-19,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-04-26,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-05-03,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-05-10,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-05-17,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-05-24,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-05-31,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-06-07,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-06-14,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-06-21,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-06-28,0.3183,0.0805,0.2387,0.3625
regime_adaptive,1,2021-07-05,0.0285,0.431,0.1001,0.4404
regime_adaptive,1,2021-07-12,0.0539,0.2024,0.2014,0.5422
regime_adaptive,1,2021-07-19,0.0598,0.1321,0.2285,0.5796
regime_adaptive,1,2021-07-26,0.1937,0.3118,0.0344,0.4601
regime_adaptive,1,2021-08-02,0.2261,0.2363,0.0692,0.4685
regime_adaptive,1,2021-08-09,0.2316,0.1649,0.1032,0.5003
regime_adaptive,1,2021-08-16,0.2366,0.1541,0.0946,0.5148
regime_adaptive,1,2021-08-23,0.234,0.1518,0.0971,0.5171
regime_adaptive,1,2021-08-30,0.2207,0.1639,0.1038,0.5115
regime_adaptive,1,2021-09-06,0.2112,0.1646,0.1147,0.5095
regime_adaptive,1,2021-09-13,0.2021,0.1669,0.1331,0.4979
regime_adaptive,1,2021-09-20,0.2031,0.1687,0.1315,0.4967
regime_adaptive,1,2021-09-27,0.189,0.1825,0.1312,0.4973
regime_adaptive,1,2021-10-04,0.1853,0.1849,0.1346,0.4952
regime_adaptive,1,2021-10-11,0.1839,0.1833,0.1365,0.4962
regime_adaptive,1,2021-10-18,0.1909,0.1802,0.1307,0.4982
regime_adaptive,1,2021-10-25,0.189,0.1752,0.1334,0.5024
regime_adaptive,1,2021-11-01,0.1829,0.1741,0.1407,0.5023
regime_adaptive,1,2021-11-08,0.1812,0.1758,0.1339,0.5092
regime_adaptive,1,2021-11-15,0.1842,0.1795,0.1312,0.5051
regime_adaptive,1,2021-11-22,0.1938,0.1748,0.1441,0.4873
regime_adaptive,1,2021-11-29,0.1883,0.164,0.172,0.4757
regime_adaptive,1,2021-12-06,0.1923,0.1674,0.166,0.4744
regime_adaptive,1,2021-12-13,0.1923,0.1678,0.1644,0.4755
regime_adaptive,1,2021-12-20,0.2247,0.1726,0.1324,0.4703
regime_adaptive,1,2021-12-27,0.2231,0.1754,0.134,0.4675
