name,horizon,split,n,MAE,RMSE,MAPE,SMAPE,MASE
horizon_adaptive,1,test,3916,17.353605641588622,22.447681438172594,8.421374249536393,8.25914807912231,0.6094205037300301
horizon_adaptive,1,val,2288,17.593637897662475,25.004425582150084,9.222421666554057,9.153715879551559,0.6130635488407254
horizon_adaptive,4,test,3850,18.37119803911757,23.997428165203697,8.827419066917725,8.698133252289743,0.6403013314238355
horizon_adaptive,4,val,2288,19.505527657271426,27.08756950951454,10.036207411504218,10.101112589587672,0.6762275728490919
horizon_adaptive,8,test,3762,19.046079676850166,24.726548755969787,9.247301117361946,9.040077136053991,0.6641865049325243
horizon_adaptive,8,val,2288,21.438226611880424,29.725950445666843,10.718684108743764,11.000650057679433,0.7376457299688614
horizon_adaptive,12,test,3674,20.018714106736255,26.052610808181413,9.745815146580192,9.46762529932482,0.6975441362862039
horizon_adaptive,12,val,2288,21.911158765263615,30.21851685334571,10.923711265741568,11.034561274953878,0.7513518281137567
lstm,1,test,3916,18.414789737230972,23.726352121460327,8.84371252746595,8.71550501276713,0.644148890337895
lstm,1,val,2288,18.28141826803522,26.63980258706276,9.667981443908662,9.50120527930735,0.6360467731722617
lstm,4,test,3850,20.04593101144725,26.1999283118457,9.470165970458142,9.44086011856378,0.6977394770356509
lstm,4,val,2288,20.557421180944345,28.938021310186183,10.67310249019361,10.636476072642793,0.7104012152675867
lstm,8,test,3762,21.223707042310753,27.5433622715377,10.058357192696814,10.058751308373214,0.739175513445516
lstm,8,val,2288,26.37038890224526,35.90889410819722,12.868147652839967,13.736139723952547,0.9035322370582418
lstm,12,test,3674,23.441106639130115,30.321687562791368,11.068379087603745,10.987204817169804,0.8151092249827109
lstm,12,val,2288,30.3402925103884,41.07228987635615,14.472178914304331,15.766379935525876,1.027200409362791
prophet,1,test,3916,21.083096406211652,27.26320141698781,10.314203391127522,10.010461033099752,0.7382656985437326
prophet,1,val,2288,23.10670505864087,32.01918697323859,11.690339375291,11.732079774293986,0.7901270909432754
prophet,4,test,3850,21.282727489978864,27.081634009827525,10.487871327762646,10.063436449076054,0.7491654116927329
prophet,4,val,2288,26.07031012394723,36.407688695176226,12.921862727941551,13.027336285890822,0.8857450259843337
prophet,8,test,3762,21.984260721814938,27.93830360219231,10.848283989311854,10.343057977517425,0.7740613276197645
prophet,8,val,2288,28.22377636025091,38.72537858226264,13.78443821161175,13.95218006799781,0.9563851936987962
prophet,12,test,3674,22.835154451081195,28.962736911742553,11.288086524566548,10.706514646248905,0.8050200970630385
prophet,12,val,2288,30.16202389555774,40.69436560092451,14.584869127303564,14.79332207440605,1.0188658705307154
regime_adaptive,1,test,3916,17.39815091565201,22.484488434871416,8.461058988727737,8.273509072270684,0.6105465449277775
regime_adaptive,1,val,2288,17.792908170198697,25.4330234520417,9.325308641866835,9.227910899177246,0.6177056882031341
regime_adaptive,4,test,3850,18.292253578725237,23.695774056973693,8.868497165117205,8.651054516144931,0.6383024808557974
regime_adaptive,4,val,2288,19.546661918370624,27.157603012789014,10.036748392294854,10.10460184601135,0.6760543389656262
regime_adaptive,8,test,3762,19.016626072237365,24.625907518760723,9.2337189315566,9.001405270503863,0.6637339333671137
regime_adaptive,8,val,2288,21.53725574222039,29.93005070728457,10.733426454849944,11.095897174574052,0.7409525070579945
regime_adaptive,12,test,3674,19.46972563553175,25.204531812532643,9.506770844308871,9.203706197057212,0.6822484738811219
regime_adaptive,12,val,2288,21.970730476337085,30.308328228684694,10.886147145678992,11.047563764984805,0.7531989180405869
