scheme,horizon,week,sarima,prophet,xgboost,lstm
static_inverse_rmse,all,,0.2176,0.2581,0.2608,0.2635
horizon_adaptive,1,,0.2104,0.0972,0.0245,0.6679
horizon_adaptive,4,,0.1158,0.2222,0.2043,0.4577
horizon_adaptive,8,,0.0718,0.338,0.2027,0.3875
horizon_adaptive,12,,0.0104,0.4173,0.2707,0.3016
regime_adaptive,1,2019-01-07,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-01-14,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-01-21,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-01-28,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-02-04,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-02-11,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-02-18,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-02-25,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-03-04,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-03-11,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-03-18,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-03-25,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-04-01,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-04-08,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-04-15,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-04-22,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-04-29,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-05-06,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-05-13,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-05-20,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-05-27,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-06-03,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-06-10,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-06-17,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-06-24,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-07-01,0.2104,0.0972,0.0245,0.6679
regime_adaptive,1,2019-07-08,0.0692,0.2075,0.0,0.7233
regime_adaptive,1,2019-07-15,0.0672,0.2063,0.0,0.7265
