name,horizon,split,n,MAE,RMSE,MAPE,SMAPE,MASE
horizon_adaptive,1,test,3432,23.70167700628577,32.53396229171229,13.900085214968543,12.594653799407036,0.8958509964312448
horizon_adaptive,1,val,1144,17.547525561392817,23.327913718687764,8.266759898101594,8.00020994216507,0.676009212343766
horizon_adaptive,4,test,3432,25.622361132610074,35.61801511099126,15.161744841963994,13.495064629374598,0.9696939193893024
horizon_adaptive,4,val,1144,17.19885638483506,23.016325897647953,7.958961119404412,7.7680353683399535,0.6627639452683131
horizon_adaptive,8,test,3432,27.368678144563205,38.26226122359052,16.110171117724573,14.24733069669108,1.0343162661408727
horizon_adaptive,8,val,1144,17.827710855764266,23.69047011695341,8.311649316850493,8.06594375076353,0.6878754585444574
horizon_adaptive,12,test,3432,27.75576753219799,38.97635146528568,16.01856959453963,14.250413934645032,1.0473169298155005
horizon_adaptive,12,val,1144,19.73747605464255,27.820247109003386,9.881411317305759,9.160589679979525,0.754189154628456
lstm,1,test,3432,27.17810036706327,37.064436909948135,16.08563619651509,14.179428035872506,1.0119399639920625
lstm,1,val,1144,17.6479524961675,23.920854491924803,8.255778980399997,8.011261663613768,0.6771314574839236
lstm,4,test,3432,31.97684711019407,43.209372760908884,19.091253246457246,16.335131159973802,1.1879801887902277
lstm,4,val,1144,17.63822065247198,24.045017737393103,8.117302982168773,7.940139791658077,0.6783664095135898
lstm,8,test,3432,35.67000285752857,47.89645792299302,21.269050628467728,17.938727696016855,1.3223123002186508
lstm,8,val,1144,18.686459747961006,24.995508444049822,8.752380321000624,8.460697845104171,0.7228267189601877
lstm,12,test,3432,36.18710634007195,49.149744901875934,21.299875949028355,18.003567439699157,1.339923375178026
lstm,12,val,1144,20.674527533027316,29.349939581422117,10.459779354185542,9.649833268519297,0.795939660332661
prophet,1,test,3432,22.64940434640931,31.732575579720315,12.01225943526892,11.916628845111578,0.8658512137190477
prophet,1,val,1144,19.062935939313487,25.274356765947168,8.95371863766741,8.662413439805349,0.7338478706615827
prophet,4,test,3432,25.83864483801727,36.551871912390254,13.822594338894149,13.474518697079532,0.9851842263726959
prophet,4,val,1144,18.706444103069327,25.02705171731417,8.595537868299639,8.403021921748552,0.7190946108470609
prophet,8,test,3432,28.74898473862049,40.32077361994024,15.550438087740066,14.88135441986033,1.0917250740234021
prophet,8,val,1144,18.981446107975568,25.3100146077243,8.790385391275546,8.577648428842586,0.7319818941914178
prophet,12,test,3432,30.10618736313466,41.856129483094776,16.14840806795669,15.462376633295532,1.1422655256622856
prophet,12,val,1144,20.71874347393633,29.021433843907133,10.198393918097775,9.538412899972897,0.7898533312865513
regime_adaptive,1,test,3432,20.00494931766267,28.523897777837103,11.076931284996913,10.65923718013255,0.7709969121424662
regime_adaptive,1,val,1144,17.658298531124693,23.6483606532228,8.309292735908745,8.042695089535918,0.6799647023704859
regime_adaptive,4,test,3432,23.080423455318595,32.83952926343902,12.830374833215918,12.168791086342248,0.8864988633703422
regime_adaptive,4,val,1144,17.39988448468829,23.316822833053735,8.050554731878307,7.8508498415131385,0.6700709957658919
regime_adaptive,8,test,3432,25.0041749284987,35.967614166851554,14.110423069363154,13.06234260981814,0.9568009516337465
regime_adaptive,8,val,1144,17.95914820289572,23.865490318561047,8.373434598150011,8.120780732103983,0.6925504097794426
regime_adaptive,12,test,3432,25.980050503893192,37.23091116127744,14.478443595615092,13.430854441053878,0.9932381011609297
regime_adaptive,12,val,1144,19.917124358115426,28.068521432173878,9.988473988281815,9.243784388702963,0.7609681140482354
sarima,1,test,3432,26.45657405120147,36.317479211393724,14.692598465755832,14.136910866530227,1.027081850234558
sarima,1,val,1144,22.23323534952804,28.452926628332207,10.512079945868107,10.107647855910173,0.8600849874743766
sarima,4,test,3432,31.135433809145102,43.48358389756148,17.555187906890637,16.38005626051655,1.193674447379307
sarima,4,val,1144,23.04379452780083,29.922960427674116,10.650430826645199,10.290430679088237,0.8814563795649363
sarima,8,test,3432,34.11273544995027,48.009655305007755,19.254374324251362,17.856009535872825,1.2971157019874946
sarima,8,val,1144,23.78529408975828,30.82767328163686,11.015736206016467,10.616215916637703,0.9074019366001905
sarima,12,test,3432,35.3654344689788,49.45487328097448,19.69879056513017,18.445234279835883,1.3397210333622829
sarima,12,val,1144,25.85761036153224,34.77611389511937,12.724826217935025,11.756588726763702,0.9787954553543611
seasonal_naive,1,test,3432,40.392191142191145,54.46769321101825,22.76974520968387,20.74402629295295,1.498926047001755
seasonal_naive,1,val,1144,23.88374125874126,30.893526264170056,11.305192502501033,10.789487446214295,0.9308615885627168
seasonal_naive,4,test,3432,40.83974358974359,54.84751058388537,22.95346966216564,20.980444951949803,1.5171422679434798
seasonal_naive,4,val,1144,23.950174825174827,30.859780442366226,11.135700224278128,10.795080561557128,0.9289639313712694
