district,cv,rmse_best_single,rmse_ensemble,gain_pct
001,0.2622,34.9374,34.6732,0.7564
002,0.1723,27.6396,25.1826,8.8894
003,0.1339,23.0271,22.414,2.6623
004,0.1405,26.0757,25.5236,2.1174
005,0.1582,27.4306,21.431,21.872
006,0.1394,27.7279,25.2314,9.0034
007,0.2153,33.0106,23.2855,29.4605
008,0.1443,32.5667,29.1718,10.4244
009,0.1583,21.8174,22.4307,-2.8113
010,0.1743,25.7895,20.2638,21.426
011,0.2043,28.9803,28.1123,2.9949
012,0.1916,33.9078,30.2787,10.7029
014,0.1994,22.6835,22.9489,-1.1702
015,0.1918,21.7039,17.4251,19.7144
016,0.1472,19.989,19.4915,2.4886
017,0.1586,15.9639,15.8353,0.8051
018,0.2242,28.5955,26.3713,7.7782
019,0.1945,33.5158,28.5088,14.9394
020,0.1871,16.589,13.7982,16.823
022,0.1518,20.0969,19.3651,3.6415
024,0.169,20.1834,20.0301,0.7598
025,0.1485,24.754,25.2341,-1.9397
