window,horizon,rmse_xgb,rmse_static,rmse_regime,regime_vs_static_%
pre   2020-01..02,1,21.965,20.314,20.16,0.76
pre   2020-01..02,4,45.107,44.137,43.974,0.37
pre   2020-01..02,8,81.09,79.971,77.993,2.47
pre   2020-01..02,12,98.482,96.193,91.971,4.39
shock 2020-03..2021-06,1,34.159,31.333,29.027,7.36
shock 2020-03..2021-06,4,40.968,37.774,34.11,9.7
shock 2020-03..2021-06,8,42.567,38.284,34.371,10.22
shock 2020-03..2021-06,12,41.087,35.67,31.889,10.6
recov 2021-07..2022-12,1,28.992,28.455,28.799,-1.21
recov 2021-07..2022-12,4,30.631,29.826,30.239,-1.38
recov 2021-07..2022-12,8,30.984,30.406,30.054,1.16
recov 2021-07..2022-12,12,33.696,31.654,31.497,0.49
