seed,horizon,xgb_rmse,ens_rmse
0,1,23.368462525664093,22.475148647672956
0,4,26.064721512862782,24.03144857525337
0,8,27.34413822844846,24.696478929043202
0,12,28.880950682449097,26.2241892415825
1,1,23.1441135169337,22.432266136299678
1,4,26.155736080464365,24.084147513850244
1,8,27.267160297068628,24.586807071504765
1,12,28.55150194330262,26.012540295521447
2,1,23.29716407808405,22.46781596612915
2,4,25.908575668747563,24.014402334689077
2,8,27.389659900841338,24.598416864287238
2,12,28.470619026997497,25.97981327364386
3,1,23.280514263412893,22.470248988985418
3,4,25.866095840289475,24.01722523007719
3,8,27.27777081125171,24.53741711533132
3,12,28.716821222141835,26.06003658803212
4,1,23.126190961926103,22.46289963523422
4,4,26.089087658044775,24.040865605278043
4,8,27.51280031628126,24.624057900459857
4,12,28.603294796263658,25.964102203970945
5,1,23.21987847172748,22.47378953464485
5,4,26.100419592717298,24.033798167483994
5,8,27.365928164602124,24.599084372802285
5,12,28.936059244136512,26.183063634208818
6,1,23.326237715020397,22.48427847925694
6,4,26.025087750550206,24.05993310675541
6,8,27.605569117746914,24.800720340263148
6,12,28.89007692949803,26.16723564433899
7,1,23.271689756520164,22.491185498938304
7,4,25.695740274849104,23.984111654527503
7,8,27.77730585705125,24.787118870343065
7,12,28.399703276355453,25.854124315447415
8,1,23.063957319607304,22.431170229722238
8,4,26.106756360922947,24.033775665708717
8,8,27.540833401838817,24.7348775984017
8,12,28.6928826035832,26.010669266362118
9,1,23.064173996061143,22.47104149309513
9,4,26.261449398729212,24.022042826051752
9,8,27.69342767019618,24.737904011090613
9,12,29.181884920288603,26.21223098015163
