primary_type,week,count
ASSAULT,2001-01-01,468
ASSAULT,2001-01-08,536
ASSAULT,2001-01-15,412
ASSAULT,2001-01-22,469
ASSAULT,2001-01-29,521
ASSAULT,2001-02-05,520
ASSAULT,2001-02-12,501
ASSAULT,2001-02-19,470
ASSAULT,2001-02-26,601
ASSAULT,2001-03-05,618
ASSAULT,2001-03-12,642
ASSAULT,2001-03-19,627
ASSAULT,2001-03-26,663
ASSAULT,2001-04-02,606
ASSAULT,2001-04-09,663
ASSAULT,2001-04-16,625
ASSAULT,2001-04-23,675
ASSAULT,2001-04-30,752
ASSAULT,2001-05-07,649
ASSAULT,2001-05-14,676
ASSAULT,2001-05-21,601
ASSAULT,2001-05-28,591
ASSAULT,2001-06-04,630
ASSAULT,2001-06-11,684
ASSAULT,2001-06-18,636
ASSAULT,2001-06-25,681
ASSAULT,2001-07-02,652
ASSAULT,2001-07-09,687
ASSAULT,2001-07-16,687
ASSAULT,2001-07-23,681
ASSAULT,2001-07-30,690
ASSAULT,2001-08-06,688
ASSAULT,2001-08-13,674
ASSAULT,2001-08-20,686
ASSAULT,2001-08-27,655
ASSAULT,2001-09-03,713
ASSAULT,2001-09-10,705
ASSAULT,2001-09-17,629
ASSAULT,2001-09-24,633
ASSAULT,2001-10-01,641
ASSAULT,2001-10-08,555
ASSAULT,2001-10-15,616
ASSAULT,2001-10-22,543
ASSAULT,2001-10-29,626
ASSAULT,2001-11-05,567
ASSAULT,2001-11-12,535
ASSAULT,2001-11-19,530
ASSAULT,2001-11-26,525
ASSAULT,2001-12-03,559
ASSAULT,2001-12-10,520
ASSAULT,2001-12-17,482
ASSAULT,2001-12-24,338
ASSAULT,2001-12-31,440
ASSAULT,2002-01-07,543
ASSAULT,2002-01-14,487
ASSAULT,2002-01-21,551
ASSAULT,2002-01-28,501
ASSAULT,2002-02-04,496
ASSAULT,2002-02-11,502
ASSAULT,2002-02-18,517
ASSAULT,2002-02-25,473
ASSAULT,2002-03-04,485
ASSAULT,2002-03-11,609
ASSAULT,2002-03-18,590
ASSAULT,2002-03-25,562
ASSAULT,2002-04-01,583
ASSAULT,2002-04-08,622
ASSAULT,2002-04-15,616
ASSAULT,2002-04-22,563
ASSAULT,2002-04-29,642
ASSAULT,2002-05-06,630
ASSAULT,2002-05-13,723
ASSAULT,2002-05-20,747
ASSAULT,2002-05-27,856
ASSAULT,2002-06-03,704
ASSAULT,2002-06-10,713
ASSAULT,2002-06-17,701
ASSAULT,2002-06-24,732
ASSAULT,2002-07-01,722
ASSAULT,2002-07-08,643
ASSAULT,2002-07-15,692
ASSAULT,2002-07-22,730
ASSAULT,2002-07-29,695
ASSAULT,2002-08-05,688
ASSAULT,2002-08-12,639
ASSAULT,2002-08-19,636
ASSAULT,2002-08-26,650
ASSAULT,2002-09-02,713
ASSAULT,2002-09-09,717
ASSAULT,2002-09-16,706
ASSAULT,2002-09-23,661
ASSAULT,2002-09-30,751
ASSAULT,2002-10-07,636
ASSAULT,2002-10-14,550
